File Name;Algorithm;Best Fitness;Worst Fitness;Average Fitness;Standard Deviation
A-n32-k5.vrp;RandomSearch;1538.4136315469689;2571.163609922483;2123.605193860486;139.70040837723164
A-n32-k5.vrp;GreedySearch;1146.399631725379;;;
A-n32-k5.vrp;GeneticAlgorithm;984.8979186748609;2388.890101086006;1112.2644680512979;178.91609713137413
A-n32-k5.vrp;TabuSearch;1457.2049295012591;1864.2407652666814;1597.4425473292756;138.79707357421043
A-n37-k6.vrp;RandomSearch;1767.3359883981825;2735.589316980233;2226.6491775215386;130.91869324038723
A-n37-k6.vrp;GreedySearch;1341.8779365605787;;;
A-n37-k6.vrp;GeneticAlgorithm;1247.7661299909587;2397.995982941094;1343.2088382575907;139.33648094505193
A-n37-k6.vrp;TabuSearch;1537.1095758063339;1745.1460930445917;1618.4093922750496;70.89245259607088
A-n39-k5.vrp;RandomSearch;1662.1350282713702;2640.5626963598825;2175.880414528592;130.2434293415066
A-n39-k5.vrp;GreedySearch;1032.574615401068;;;
A-n39-k5.vrp;GeneticAlgorithm;1028.5586083527305;2403.963691262079;1116.971910247263;170.1902115290326
A-n39-k5.vrp;TabuSearch;1479.046901552586;2045.7436998469511;1697.4895748992694;179.5471252881897
A-n45-k6.vrp;RandomSearch;2208.540301141168;3312.7486409120324;2819.316619680449;152.42056939215496
A-n45-k6.vrp;GreedySearch;1485.2990347176603;;;
A-n45-k6.vrp;GeneticAlgorithm;1251.9851958698803;3184.6222819638806;1386.7401142390158;229.70974015496813
A-n45-k6.vrp;TabuSearch;1979.6272964226318;2287.53476794525;2100.116449128954;100.94169654647733
A-n48-k7.vrp;RandomSearch;2390.541832697673;3642.9892109033403;2952.2868886171527;169.36027454263453
A-n48-k7.vrp;GreedySearch;1476.5729733586281;;;
A-n48-k7.vrp;GeneticAlgorithm;1365.6695536747277;3231.446533143664;1490.295098197932;231.57977305736298
A-n48-k7.vrp;TabuSearch;2162.9192996711577;2793.1600661809753;2400.9639308869537;215.94785396921662
A-n54-k7.vrp;RandomSearch;2647.779731399708;3965.8926337334024;3274.328420767103;172.05875710046044
A-n54-k7.vrp;GreedySearch;1433.6426135922889;;;
A-n54-k7.vrp;GeneticAlgorithm;1409.5587679982139;3573.6299133240545;1526.3304599276648;248.19613178680873
A-n54-k7.vrp;TabuSearch;2390.1109679682604;3132.332247090403;2655.5488278910784;247.04403520542513
A-n60-k9.vrp;RandomSearch;2986.815258456384;4337.392129896596;3679.894219584308;179.45295700495177
A-n60-k9.vrp;GreedySearch;1969.9807053701643;;;
A-n60-k9.vrp;GeneticAlgorithm;1836.5093112345646;4215.223193317319;1940.8358588306064;254.66683583389857
A-n60-k9.vrp;TabuSearch;2782.1104184426717;3642.5535302138405;3139.359736611831;296.7423908444792
